Name Server;Hop;Time (ms)
Google;1;2.374
Google;2;54.403
Google;3;36.913
Google;4;
Google;5;
Google;6;
Google;7;44.017
Google;8;54.882
Google;9;82.199
Google;10;66.369
Google;11;56.502
Google;12;37.483
Google;13;38.435
Google;14;0
Google;15;0
Google;16;0
Google;1;4.371
Google;2;40.918
Google;3;40.733
Google;4;
Google;5;
Google;6;
Google;7;49.866
Google;8;93.548
Google;9;36.905
Google;10;91.940
Google;11;39.761
Google;12;47.253
Google;13;43.315
Google;1;2.351
Google;2;57.430
Google;3;182.914
Google;4;
Google;5;24.722
Google;6;
Google;7;42.033
Google;8;25.364
Google;9;49.638
Google;10;31.072
Google;11;34.994
Google;12;27.746
Google;13;34.368
Google;1;2.527
Google;2;
Google;3;51.858
Google;4;
Google;5;
Google;6;
Google;7;31.042
Google;8;22.019
Google;9;23.941
Google;10;37.478
Google;11;28.541
Google;12;29.551
Google;13;30.215
Google;1;2.309
Google;2;208.355
Google;3;121.291
Google;4;
Google;5;
Google;6;
Google;7;35.426
Google;8;37.392
Google;9;35.292
Google;10;33.511
Google;11;21.143
Google;12;34.801
Google;13;35.762
Google;1;2.254
Google;2;34.412
Google;3;30.991
Google;4;
Google;5;64.124
Google;6;
Google;7;32.103
Google;8;34.598
Google;9;27.109
Google;10;21.461
Google;11;39.342
Google;12;22.847
Google;13;54.368
Google;1;2.609
Google;2;58.171
Google;3;118.473
Google;4;
Google;5;
Google;6;
Google;7;50.534
Google;8;25.541
Google;9;29.446
Google;10;27.125
Google;11;41.626
Google;12;43.425
Google;13;24.043
Google;1;2.914
Google;2;27.370
Google;3;241.863
Google;4;
Google;5;
Google;6;
Google;7;29.315
Google;8;40.166
Google;9;34.328
Google;10;25.175
Google;11;35.911
Google;12;51.583
Google;13;30.156
Google;1;2.747
Google;2;280.154
Google;3;231.853
Google;4;
Google;5;
Google;6;
Google;7;30.507
Google;8;29.611
Google;9;44.752
Google;10;23.240
Google;11;36.162
Google;12;27.597
Google;13;29.218
Google;1;2.784
Google;2;27.737
Google;3;32.990
Google;4;
Google;5;
Google;6;
Google;7;31.729
Google;8;34.267
Google;9;25.463
Google;10;24.259
Google;11;27.996
Google;12;24.862
Google;13;29.172
Google;1;2.583
Google;2;236.075
Google;3;26.366
Google;4;
Google;5;33.002
Google;6;
Google;7;29.139
Google;8;31.024
Google;9;44.952
Google;10;51.885
Google;11;51.738
Google;12;48.675
Google;13;40.389
Google;1;2.310
Google;2;178.027
Google;3;24.760
Google;4;
Google;5;
Google;6;
Google;7;33.517
Google;8;30.102
Google;9;30.408
Google;10;30.868
Google;11;24.594
Google;12;42.688
Google;13;24.169
Google;1;2.622
Google;2;165.137
Google;3;238.270
Google;4;
Google;5;21.053
Google;6;
Google;7;46.320
Google;8;27.216
Google;9;27.396
