Website,Max connections,N connection used,Page size (KB),N requests,Time to complete (ms),DOMContentLoaded time,Time to load
www.pedranzini.it/,1,1,180.40,30,2580,1700,2350
www.pedranzini.it/,1,1,180.40,30,2230,1460,2040
www.pedranzini.it/,1,1,180.40,30,2280,1530,2080
www.pedranzini.it/,1,1,180.40,30,2310,1540,2100
www.pedranzini.it/,1,1,180.40,30,2290,1480,2060
www.pedranzini.it/,2,2,180.40,30,2090,1500,1710
www.pedranzini.it/,2,2,180.40,30,1770,1330,1630
www.pedranzini.it/,2,2,180.40,30,1340,949,1200
www.pedranzini.it/,2,2,180.40,30,1340,976,1190
www.pedranzini.it/,2,2,180.40,30,1760,1400,1640
www.pedranzini.it/,3,3,180.40,30,1540,924,1160
www.pedranzini.it/,3,3,180.40,30,1540,994,1260
www.pedranzini.it/,3,3,180.40,30,1210,809,990
www.pedranzini.it/,3,3,180.40,30,1370,1020,1180
www.pedranzini.it/,3,3,180.40,30,1090,785,987
www.pedranzini.it/,4,4,180.40,30,1350,1070,1220
www.pedranzini.it/,4,4,180.40,30,1380,981,1150
www.pedranzini.it/,4,4,180.40,30,1310,1000,1160
www.pedranzini.it/,4,4,180.40,30,1270,980,1140
www.pedranzini.it/,4,4,180.40,30,1260,818,1040
www.pedranzini.it/,8,8,180.40,30,1220,970,1090
www.pedranzini.it/,8,8,180.40,30,1170,850,977
www.pedranzini.it/,8,8,180.40,30,1290,1030,1160
www.pedranzini.it/,8,8,180.40,30,1350,902,1150
www.pedranzini.it/,8,8,180.40,30,1250,947,1080
www.vallespluga.it/,1,1,20120,152,16220,7550,15080
www.vallespluga.it/,1,1,20120,152,16370,7940,15240
www.vallespluga.it/,1,1,20120,152,16750,7840,15610
www.vallespluga.it/,1,1,20120,152,19590,8690,18460
www.vallespluga.it/,1,1,20120,152,16540,7730,15450
www.vallespluga.it/,2,2,20120,152,11560,5040,10500
www.vallespluga.it/,2,2,20120,152,11330,4560,10170
www.vallespluga.it/,2,2,20120,152,11830,4840,10700
www.vallespluga.it/,2,2,20120,152,11510,5120,10360
www.vallespluga.it/,2,2,20120,152,13380,4960,13000
www.vallespluga.it/,3,3,20120,152,9090,3830,7990
www.vallespluga.it/,3,3,20120,152,9430,3540,8240
www.vallespluga.it/,3,3,20120,152,9080,3540,7840
www.vallespluga.it/,3,3,20120,152,9370,3300,7980
www.vallespluga.it/,3,3,20120,152,9150,3920,7970
www.vallespluga.it/,4,4,20120,152,7010,3010,5810
www.vallespluga.it/,4,4,20120,152,7030,2830,6040
www.vallespluga.it/,4,4,20120,152,7390,2970,6200
www.vallespluga.it/,4,4,20120,152,6830,2650,5650
www.vallespluga.it/,4,4,20120,152,6780,2980,5520
www.vallespluga.it/,8,8,20120,152,5970,2330,4780
www.vallespluga.it/,8,8,20120,152,5470,1820,4300
www.vallespluga.it/,8,8,20120,152,5700,1830,4570
www.vallespluga.it/,8,8,20120,152,5760,2060,4650
www.vallespluga.it/,8,8,20120,152,5950,1970,4680
www.uniss.it/,1,1,2540,118,13520,5540,13260
www.uniss.it/,1,1,2540,118,12060,5330,11730
www.uniss.it/,1,1,2540,118,11920,5440,11610
www.uniss.it/,1,1,2540,118,12600,5690,12380
www.uniss.it/,1,1,2540,118,11460,5030,11120
www.uniss.it/,2,2,2540,118,6910,3660,6650
www.uniss.it/,2,2,2540,118,6220,3220,6060
www.uniss.it/,2,2,2540,118,6630,2950,6440
www.uniss.it/,2,2,2540,118,7570,3460,7120
www.uniss.it/,2,2,2540,118,6860,3590,6620
www.uniss.it/,3,3,2540,118,4170,2130,3980
www.uniss.it/,3,3,2540,118,5320,3030,5090
www.uniss.it/,3,3,2540,118,4580,2370,4420
www.uniss.it/,3,3,2540,118,4510,2070,4190
www.uniss.it/,3,3,2540,118,4700,2380,4530
www.uniss.it/,4,4,2540,118,4120,2310,3960
www.uniss.it/,4,4,2540,118,3970,2040,3740
www.uniss.it/,4,4,2540,118,4360,1970,3930
www.uniss.it/,4,4,2540,118,4260,2270,4060
www.uniss.it/,4,4,2540,118,3590,1660,3390
www.uniss.it/,8,8,2540,118,2590,1400,2280
www.uniss.it/,8,8,2540,118,2800,1420,2760
www.uniss.it/,8,8,2540,118,3210,1320,3040
www.uniss.it/,8,8,2540,118,2800,1380,2530
www.uniss.it/,8,8,2540,118,2510,1400,2350
www.unica.it/,1,1,2570,36,4530,1970,4380
www.unica.it/,1,1,2570,36,4100,1880,3930
www.unica.it/,1,1,2570,36,4580,1990,4410
www.unica.it/,1,1,2570,36,4350,1980,4190
www.unica.it/,1,1,2570,36,4400,1950,4230
www.unica.it/,2,2,2570,36,2950,1500,2860
www.unica.it/,2,2,2570,36,2790,1560,2660
www.unica.it/,2,2,2570,36,2670,1460,2530
www.unica.it/,2,2,2570,36,2480,1390,2410
www.unica.it/,2,2,2570,36,2920,1670,2780
www.unica.it/,3,3,2570,36,2220,1330,2170
www.unica.it/,3,3,2570,36,2250,1270,2170
www.unica.it/,3,3,2570,36,2080,1220,2170
www.unica.it/,3,3,2570,36,2160,1300,2140
www.unica.it/,3,3,2570,36,2150,1320,2040
www.unica.it/,4,4,2570,36,1870,1140,1950
www.unica.it/,4,4,2570,36,1940,1200,1950
www.unica.it/,4,4,2570,36,2000,1180,1940
www.unica.it/,4,4,2570,36,2050,1250,2100
www.unica.it/,4,4,2570,36,1960,1260,2020
www.unica.it/,8,8,2570,36,1470,994,1560
www.unica.it/,8,8,2570,36,1850,1210,1820
www.unica.it/,8,8,2570,36,1900,1170,1890
www.unica.it/,8,8,2570,36,1490,984,1550
www.unica.it/,8,8,2570,36,2020,1150,1940




