Website,PgeSize (KB),N requests,HTTP version,HTPS Supported,Cache policy,Time to complete (ms),DOMContentLoaded time,Time to load
www.pedranzini.it/,180.40,30,1.1,No,No cache,2180,1510,1620
www.pedranzini.it/,180.40,30,1.1,No,No cache,1960,1560,1770
www.pedranzini.it/,180.40,30,1.1,No,No cache,1730,1300,1520
www.pedranzini.it/,180.40,30,1.1,No,No cache,1900,1530,1740
www.pedranzini.it/,180.40,30,1.1,No,No cache,1570,1220,1410
www.vallespluga.it/,20120,152,1.1,Yes,No cache,9090,2300,8410
www.vallespluga.it/,20120,152,1.1,Yes,No cache,7400,2760,5980
www.vallespluga.it/,20120,152,1.1,Yes,No cache,6560,2110,5420
www.vallespluga.it/,20120,152,1.1,Yes,No cache,7310,1960,5990
www.vallespluga.it/,20120,152,1.1,Yes,No cache,6670,2410,5510
www.unica.it/,2570,36,1.1,Yes,No cache,2250,1780,2360
www.unica.it/,2570,36,1.1,Yes,No cache,1720,1050,1960
www.unica.it/,2570,36,1.1,Yes,No cache,1890,1130,2280
www.unica.it/,2570,36,1.1,Yes,No cache,2200,1240,2040
www.unica.it/,2570,36,1.1,Yes,No cache,2160,1220,2360
www.uniss.it/,2540,118,1.1,Yes,No cache,3520,1900,3220
www.uniss.it/,2540,118,1.1,Yes,No cache,2970,1640,2740
www.uniss.it/,2540,118,1.1,Yes,No cache,2740,1400,2670
www.uniss.it/,2540,118,1.1,Yes,No cache,3270,1800,3140
www.uniss.it/,2540,118,1.1,Yes,No cache,3300,1820,3020
www.istat.it/,11200,130,1.1,Yes,No cache,11470,2210,7600
www.istat.it/,11200,130,1.1,Yes,No cache,11110,1850,7380
www.istat.it/,11200,130,1.1,Yes,No cache,11050,1950,7300
www.istat.it/,11200,130,1.1,Yes,No cache,10930,1830,7300
www.istat.it/,11200,130,1.1,Yes,No cache,11160,1740,7360
www.unina.it,2210,64,1.1,No,No cache,11840,11300,11820
www.unina.it,2210,64,1.1,No,No cache,11240,10740,11320
www.unina.it,2210,64,1.1,No,No cache,2020,807,1860
www.unina.it,2210,64,1.1,No,No cache,2030,719,1900
www.unina.it,2210,64,1.1,No,No cache,2600,987,2420
www.apache.org,2010,36,3,Yes,No cache,2130,1430,2100
www.apache.org,2010,36,3,Yes,No cache,1170,488,1210
www.apache.org,2010,36,3,Yes,No cache,4740,455,4640
